Date,Effluent_cfs
2011-01-01 00:00,9.219749778
2011-01-01 01:00,8.84657525
2011-01-01 02:00,8.773750292
2011-01-01 03:00,8.207049954
2011-01-01 04:00,9.105336862
2011-01-01 05:00,7.430084339
2011-01-01 06:00,7.620487842
2011-01-01 07:00,7.727144501
2011-01-01 08:00,8.132697882
2011-01-01 09:00,8.519653575
2011-01-01 10:00,9.453639689
2011-01-01 11:00,9.639167875
2011-01-01 12:00,10.53095487
2011-01-01 13:00,10.96516138
2011-01-01 14:00,10.42623999
2011-01-01 15:00,10.16492545
2011-01-01 16:00,10.03407632
2011-01-01 17:00,9.828387748
2011-01-01 18:00,9.675776851
2011-01-01 19:00,9.846091138
2011-01-01 20:00,9.937609712
2011-01-01 21:00,10.15594069
2011-01-01 22:00,10.0582657
2011-01-01 23:00,9.675603562
2011-01-02 00:00,9.662766206
2011-01-02 01:00,10.93588008
2011-01-02 02:00,11.02145266
2011-01-02 03:00,8.28414681
2011-01-02 04:00,7.546084711
2011-01-02 05:00,7.920840507
2011-01-02 06:00,7.604647315
2011-01-02 07:00,7.71178052
2011-01-02 08:00,8.170561661
2011-01-02 09:00,9.047232237
2011-01-02 10:00,9.647741069
2011-01-02 11:00,10.44729622
2011-01-02 12:00,10.84058627
2011-01-02 13:00,10.54197269
2011-01-02 14:00,10.55310964
2011-01-02 15:00,10.25548319
2011-01-02 16:00,10.36869701
2011-01-02 17:00,10.57314935
2011-01-02 18:00,10.47271255
2011-01-02 19:00,10.68449256
2011-01-02 20:00,10.73619011
2011-01-02 21:00,10.91423899
2011-01-02 22:00,10.71559031
2011-01-02 23:00,9.933597748
2011-01-03 00:00,9.793536423
2011-01-03 01:00,10.8953102
2011-01-03 02:00,10.94632852
2011-01-03 03:00,8.194568461
2011-01-03 04:00,7.43131748
2011-01-03 05:00,7.150246379
2011-01-03 06:00,7.573690365
2011-01-03 07:00,8.556189832
2011-01-03 08:00,9.371896505
2011-01-03 09:00,10.34205992
2011-01-03 10:00,10.64054972
2011-01-03 11:00,11.35674484
2011-01-03 12:00,11.95557802
2011-01-03 13:00,12.37053855
2011-01-03 14:00,11.91433819
2011-01-03 15:00,12.33069432
2011-01-03 16:00,11.26729955
2011-01-03 17:00,9.007250302
2011-01-03 18:00,9.024173889
2011-01-03 19:00,9.175873468
2011-01-03 20:00,9.885133905
2011-01-03 21:00,9.976904678
2011-01-03 22:00,9.775726274
2011-01-03 23:00,8.959391426
2011-01-04 00:00,8.609660507
2011-01-04 01:00,11.79354141
2011-01-04 02:00,10.29274355
2011-01-04 03:00,6.374735158
2011-01-04 04:00,5.773045791
2011-01-04 05:00,5.45598151
2011-01-04 06:00,6.596847565
2011-01-04 07:00,9.882752721
2011-01-04 08:00,11.20577091
2011-01-04 09:00,11.88433742
2011-01-04 10:00,12.37225443
2011-01-04 11:00,12.56802681
2011-01-04 12:00,13.24123064
2011-01-04 13:00,12.97591651
2011-01-04 14:00,12.67434927
2011-01-04 15:00,12.5294869
2011-01-04 16:00,12.25984517
2011-01-04 17:00,11.86414764
2011-01-04 18:00,12.17020029
2011-01-04 19:00,12.71331932
2011-01-04 20:00,12.81447713
2011-01-04 21:00,13.1580346
2011-01-04 22:00,12.63500944
2011-01-04 23:00,13.58942516
2011-01-05 00:00,11.28560481
2011-01-05 01:00,10.4923639
2011-01-05 02:00,9.487064469
2011-01-05 03:00,8.703571096
2011-01-05 04:00,8.371650325
2011-01-05 05:00,8.050383771
2011-01-05 06:00,8.477610731
2011-01-05 07:00,9.548277476
2011-01-05 08:00,10.97433181
2011-01-05 09:00,11.67322891
2011-01-05 10:00,12.23880441
2011-01-05 11:00,11.8321525
2011-01-05 12:00,11.988944
2011-01-05 13:00,12.01201318
2011-01-05 14:00,12.02379224
2011-01-05 15:00,12.0330818
2011-01-05 16:00,13.47706851
2011-01-05 17:00,13.79719166
2011-01-05 18:00,13.12104346
2011-01-05 19:00,12.75785011
2011-01-05 20:00,12.93743229
2011-01-05 21:00,13.26119453
2011-01-05 22:00,12.56720059
2011-01-05 23:00,11.8695258
2011-01-06 00:00,11.50871209
2011-01-06 01:00,12.34117679
2011-01-06 02:00,11.80807607
2011-01-06 03:00,10.5308543
2011-01-06 04:00,9.475047144
2011-01-06 05:00,8.896696174
2011-01-06 06:00,9.045296654
2011-01-06 07:00,10.39029322
2011-01-06 08:00,11.85101476
2011-01-06 09:00,12.50128401
2011-01-06 10:00,12.53707141
2011-01-06 11:00,12.74806389
2011-01-06 12:00,12.84097961
2011-01-06 13:00,12.4973819
2011-01-06 14:00,12.52466109
2011-01-06 15:00,12.10279218
2011-01-06 16:00,12.51477585
2011-01-06 17:00,12.00014594
2011-01-06 18:00,12.7390652
2011-01-06 19:00,13.43545115
2011-01-06 20:00,13.35722637
2011-01-06 21:00,13.61000794
2011-01-06 22:00,13.17351463
2011-01-06 23:00,12.38669316
2011-01-07 00:00,11.54650469
